Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R26,RES_0603_SMD,75mil,1071mil,75mil,1071mil,75mil,1040.685mil,B,90,22
C38,CAP_0402_SMD,318mil,1016mil,318mil,1016mil,299.89mil,1016mil,T,360,0.1uF
C37,CAP_0603_SMD,197mil,962mil,197mil,962mil,227.315mil,962mil,T,180,4.7uF
C36,CAP_0603_SMD,95mil,1091mil,95mil,1091mil,95mil,1060.685mil,T,90,0.22uF
Y1,3225,261.401mil,835.661mil,224mil,877mil,224mil,877mil,B,270,25MHZ
Y2,3225,207.614mil,350.724mil,246mil,396mil,169.228mil,396mil,T,270,14.31818MHZ
R25,RES_0603_SMD,1336.89mil,875.37mil,1336.89mil,875.37mil,1306.575mil,875.37mil,B,360,102K
R24,RES_0603_SMD,1335mil,936mil,1335mil,936mil,1365.315mil,936mil,B,180,510K
R21,RES_0603_SMD,550mil,106mil,550mil,106mil,519.685mil,106mil,B,360,2.2K
R20,RES_0402_SMD,250mil,683mil,250mil,683mil,268.11mil,683mil,T,180,10K
R19,RES_0603_SMD,535mil,621mil,535mil,621mil,535mil,590.685mil,B,90,2.2K
R18,RES_0603_SMD,1141mil,363mil,1141mil,363mil,1141mil,393.315mil,T,270,649K
R17,RES_0603_SMD,1116mil,363mil,1116mil,363mil,1116mil,332.685mil,B,90,806K
R16,RES_0603_SMD,1231mil,340mil,1231mil,340mil,1261.315mil,340mil,T,180,332K
R15,RES_0603_SMD,1010mil,546mil,1010mil,546mil,1010mil,576.315mil,T,270,100K
R14,RES_0603_SMD,1215mil,336mil,1215mil,336mil,1245.315mil,336mil,B,180,2M
R13,RES_0603_SMD,1215mil,391mil,1215mil,391mil,1245.315mil,391mil,B,180,100K
R11,RES_0603_SMD,1060mil,546mil,1060mil,546mil,1060mil,515.685mil,T,90,100K
R10,RES_0603_SMD,1395mil,811mil,1395mil,811mil,1364.685mil,811mil,B,360,100K
R9,CAP-SMD-0805,1263mil,718mil,1263mil,718mil,1263mil,681.583mil,B,90,1.87K
R8,RES_0402_SMD,640mil,486mil,640mil,486mil,640mil,467.89mil,B,90,10K
R7,RES_0603_SMD,1280.158mil,812mil,1280mil,811mil,1250mil,813mil,B,360,100K
R6,RES_0402_SMD,625mil,66mil,625mil,66mil,625mil,47.89mil,T,90,10K
R3,RES_0603_SMD,265mil,738mil,265mil,738mil,295.315mil,738mil,T,180,100K
R2,RES_0603_SMD,485mil,621mil,485mil,621mil,485mil,590.685mil,B,90,2.2K
R1,RES_0603_SMD,1390mil,571mil,1390mil,571mil,1390mil,601.315mil,T,270,2.2K
L2,INDC_2520_SMD,1068mil,837mil,1068mil,837mil,1068mil,793.102mil,T,90,4.7uH
L1,INDC_2520_SMD,1378mil,543.748mil,1378mil,543.748mil,1334.102mil,543.748mil,B,360,10uH
C35,CAP_0603_SMD,1325mil,946mil,1325mil,946mil,1355.315mil,946mil,T,180,2.2uF
C34,CAP_0603_SMD,675mil,76mil,675mil,76mil,675mil,45.685mil,T,90,2.2uF
C31,CAP_0402_SMD,400mil,266mil,400mil,266mil,400mil,284.11mil,T,270,0.1uF
C30,CAP_0603_SMD,430mil,503mil,430mil,503mil,430mil,533.315mil,T,270,1uF
C29,CAP-SMD-0805,1508mil,499mil,1508mil,499mil,1508mil,462.583mil,B,90,10uF
C28,CAP_0603_SMD,1230mil,390mil,1230mil,390mil,1199.685mil,390mil,T,360,10pF
C27,CAP-SMD-0805,1384mil,360mil,1384mil,360mil,1420.417mil,360mil,B,180,10uF
C26,CAP_0402_SMD,315mil,131mil,315mil,131mil,315mil,149.11mil,T,270,0.1uF
C25,CAP_0603_SMD,1315mil,466mil,1315mil,466mil,1315mil,496.315mil,T,270,2.2uF
C24,CAP-SMD-0805,1088mil,638mil,1088mil,638mil,1124.417mil,638mil,B,180,10uF
C15,CAP_0402_SMD,770mil,446mil,770mil,446mil,770mil,427.89mil,T,90,0.1uF
C14,CAP_0402_SMD,753mil,179mil,753mil,179mil,771.11mil,179mil,T,180,0.1uF
C13,CAP_0402_SMD,479mil,526mil,479mil,526mil,479mil,544.11mil,T,270,0.1uF
C12,CAP_0402_SMD,380mil,493mil,380mil,493mil,380mil,474.89mil,T,90,0.1uF
C11,CAP_0603_SMD,240mil,623mil,240mil,623mil,209.685mil,623mil,T,360,1uF
C10,CAP-SMD-0805,1087mil,717mil,1087mil,717mil,1123.417mil,717mil,B,180,10uF
C9,CAP_0402_SMD,417mil,688mil,417mil,688mil,398.89mil,688mil,T,360,0.1uF
C8,CAP_0402_SMD,161mil,858mil,161mil,858mil,161mil,839.89mil,B,90,0.1uF
C7,CAP_0402_SMD,765mil,1176mil,765mil,1176mil,783.11mil,1176mil,B,180,0.1uF
C6,CAP_0402_SMD,845mil,788mil,845mil,788mil,845mil,769.89mil,B,90,0.1uF
C5,CAP_0402_SMD,713mil,674mil,713mil,674mil,731.11mil,674mil,B,180,0.1uF
C4,CAP-SMD-0805,1187mil,951mil,1187mil,951mil,1150.583mil,951mil,T,360,10uF
C2,CAP_0603_SMD,309mil,405mil,309mil,405mil,309mil,435.315mil,T,270,10pF
C1,CAP_0603_SMD,310mil,291mil,310mil,291mil,310mil,321.315mil,T,270,10pF
C3,CAP-SMD-0805,1154mil,724mil,1154mil,724mil,1117.583mil,724mil,T,360,10uF
R27,RES_0603_SMD,935mil,301mil,935mil,301mil,935mil,270.685mil,B,90,10K
R28,RES_0603_SMD,880mil,301mil,880mil,301mil,880mil,331.315mil,B,270,10K
